Scenario,Input_Amplitude,Input_lambda,Cotton_Demand,Rice_Demand,Wheat_Demand,Sugarcane_Demand,Miscellaneous_Demand,Annual_Scarcity,Variability,Surplus_Capacity,Deficit_Severity,Storage_Adequacy,Storage_Adequacy_Points,Best_Months,Worst_Months
1,1.1072388247860283,0.49495184363774175,49.56563459822999,28.608158105888027,37.04165919904307,127.88429618179394,35.75435932466036,1.9818085976408433,15.177167515317368,-2.069917453515785,17.247084968833153,0.942204794509114,1,May-Jun-Jul,Oct-Nov-Dec
2,0.7608490145709639,0.2948106643721516,85.81032839753912,38.75231152338964,93.8563942164643,24.26459438921048,42.69997471620254,2.802241521661717,13.438541168496608,-8.264876717761007,21.703417886257615,1.0641035973103148,2,Jun-Jul-Aug,Mar-Apr-May
3,1.1832715912025695,0.7787806506106361,29.92722347057809,6.547950775182118,83.53503286391367,98.04194571444562,21.690254099261203,1.6073528851056047,21.57667929799593,4.461766807342194,17.114912490653737,0.6627525859054781,1,Jun-Jul-Aug,Feb-Mar-Apr
4,1.0985567995905878,0.1013465054456149,72.25738941625748,73.45923577010137,59.48333238732731,95.76276130171864,34.44263394049801,2.402214322958411,12.31635800998536,-9.303571770622872,21.61992978060823,1.1610575129763543,2,May-Jun-Jul,Oct-Nov-Dec
5,0.5664430100783882,0.3605105416056434,27.19484310606851,56.91601374313012,13.501532860767702,145.202450430633,30.636810534209424,3.40656029094829,14.037691728819444,-8.6068578117199,22.644549540539344,1.0186859974024103,2,May-Jun-Jul,Sep-Oct-Nov
6,0.9445315557157276,0.6703764447496265,7.5608232504839075,11.419296267463615,37.94739608010067,161.37728920656502,39.79875604514772,2.1050626176586666,13.828455007741695,-3.2694359641705972,17.097890971912292,1.0340996150325048,2,Jun-Jul-Aug,Feb-Mar-Apr
7,1.7612406133132517,0.1687367769013264,35.634483126914276,48.30550020471561,78.62048826805474,157.3202260484868,19.13825693330972,1.5860043272356215,29.285086261565656,5.121467853798929,24.163618407766727,0.4883031544546827,1,Jul-Aug-Sep,Feb-Mar-Apr
8,0.8242164118046689,0.19730424184052267,101.47037011424626,21.12569872882244,13.418093642894076,157.22761597421768,37.72634692798092,3.034467603352485,15.604197762095142,-11.084770410409908,26.68896817250505,0.9164200696518198,1,May-Jun-Jul,Oct-Nov-Dec
9,1.6798990689470448,0.5654376880503755,92.32336777494618,79.92437003710893,23.419304346416048,19.856640766012376,14.022272720676455,1.12323622233392,39.24021457443329,19.589197341917817,19.65101723251547,0.3644220643308376,0,May-Jun-Jul,Oct-Nov-Dec
10,1.352207677603063,0.3912373702831026,17.13571526531453,6.940481856701079,4.387561809043863,15.497890406882249,38.23390805312102,0.4888686349901709,16.779058430520816,15.335088432755125,1.4439699977656915,0.8522528280841164,1,Jun-Jul-Aug,Dec-Jan-Feb
11,1.2547983501488624,0.8557965022447782,46.886856548417434,85.18544017140808,25.7675919740768,80.69536693835262,37.79966804470673,1.758962757103986,41.11506158952413,11.957504614915253,29.15755697460888,0.34780441636608306,0,May-Jun-Jul,Sep-Oct-Nov
12,1.3213886553039607,0.7541382579381711,76.76324676713271,15.802046498797244,45.31191023638251,77.07309422807842,4.759698101117972,1.3356013034537955,25.652797065010674,10.861348646254603,14.791448418756072,0.5574440854835512,1,May-Jun-Jul,Oct-Nov-Dec
13,0.4917420122562438,0.5034444121874814,102.74493806282076,63.14805982533798,37.64546957131983,152.66450495352956,11.768634383842997,5.120527538552387,25.84339205915933,-13.41001110993859,39.25340316909792,0.5533329358338562,1,May-Jun-Jul,Aug-Sep-Oct
14,0.9004560055802981,0.5332410538885761,100.07425773515651,47.85586584565158,61.39157437401553,34.9237456405032,47.481245647417246,2.483915498949758,21.658899676962584,-2.9544661179380185,24.613365794900602,0.6602366792995559,1,May-Jun-Jul,Sep-Oct-Nov
15,0.5004385928784224,0.412008533627329,25.210036132340853,37.06882776369243,93.2509899544106,131.1301790621341,21.273167666462626,4.227075236881341,15.734732053340387,-13.784510047828949,29.519242101169336,0.9088175096673603,1,Jul-Aug-Sep,Mar-Apr-May
16,0.9430063216741043,0.634502001880468,70.68228603573645,46.93515989581125,91.16174453093318,154.05682083888593,30.690749106189926,3.2179734503007227,16.276261611995146,-12.406523777423601,28.682785389418747,0.8785801273593012,1,May-Jun-Jul,Sep-Oct-Nov
